Gene_ID,Transcript_ID,Average Oocyte(RPKM),Average Zygote(RPKM),Average 2-cell embryo(RPKM),Average 4-cell embryo(RPKM),Average 8-cell embryo(RPKM),Average Morulae(RPKM),Average Trophectoderm(RPKM),Average Primitive endoderm(RPKM),Average epiblast(RPKM),Average hESC passage#0(RPKM),Average hESC passage#10(RPKM)
C9orf152,"NM_001012993, ",0.0,0.0,0.036,0.0,0.095,0.012,0.129,0.0,0.0,0.0,0.0
RPS11,"NM_001015, ",1057.517,850.277,1507.581,3971.046,4303.018,2895.275,1384.116,2670.108,1968.631,2070.786,2659.038
ELMO2,"NM_133171, NM_182764, ",9.486,60.506,55.716,66.985,12.81,5.074,2.296,0.225,3.047,3.41,2.937
CREB3L1,"NM_052854, ",1.457,1.323,1.231,2.079,0.675,0.094,0.0,4.285,1.625,3.318,4.076
PNMA1,"NM_006029, ",1.382,5.421,3.781,3.364,27.055,34.535,12.948,9.106,15.112,18.029,11.297
MMP2,"NM_001127891, NM_004530, ",0.0,0.0,0.0,0.0,0.286,0.064,0.012,0.419,20.926,2.909,5.764
TMEM216,"NM_001173990, NM_001173991, NM_016499, ",11.753,2.259,3.233,6.653,1.532,0.5,2.106,4.801,0.0,19.723,7.749
LOC653712,"NR_034179, ",0.335,0.353,0.584,0.693,0.39,0.389,0.148,1.106,1.844,0.184,0.009
C10orf90,"NM_001004298, ",1.955,0.9,1.246,1.438,0.161,0.064,0.0,0.413,0.274,0.0,0.0
ZHX3,"NM_015035, ",19.978,33.526,29.647,44.984,4.443,3.424,0.486,0.109,1.133,0.726,0.408
ERCC5,"NM_000123, ",21.522,17.848,10.448,18.728,11.366,6.631,2.759,3.753,1.894,18.375,7.812
GPR98,"NM_032119, NR_003149, ",0.481,0.554,0.365,0.769,0.609,0.197,0.0,0.0,0.0,1.594,1.664
RXFP3,"NM_016568, ",0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0
APBB2,"NM_001166050, NM_001166051, NM_001166052, NM_001166053, NM_001166054, NM_004307, NM_173075, ",6.773,8.088,5.123,9.765,6.109,10.248,1.358,3.21,4.137,3.562,5.025
KLHL13,"NM_001168299, NM_001168300, NM_001168301, NM_001168302, NM_001168303, NM_033495, ",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.339,2.039
PRSSL1,"NM_214710, ",0.0,0.0,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.0
PDCL3,"NM_024065, ",798.195,571.87,722.208,488.545,1380.729,1636.053,1703.997,243.585,588.405,52.063,42.011
AEN,"NM_022767, ",5.262,12.827,10.129,14.765,48.702,58.663,35.598,51.474,38.865,75.373,53.628
